index,avg_price,zipcode,city,suburb,bathrooms,bedrooms,index,avg_price_melb,Postcode,CouncilArea,Suburb,Bathroom,Bedroom2
83,106.47126436781609,3000.0,Melbourne,Melbourne,1.0,0.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
83,106.47126436781609,3000.0,Melbourne,Melbourne,1.0,0.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
83,106.47126436781609,3000.0,Melbourne,Melbourne,1.0,0.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
83,106.47126436781609,3000.0,Melbourne,Melbourne,1.0,0.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
83,106.47126436781609,3000.0,Melbourne,Melbourne,1.0,0.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
84,106.63821892393321,3000.0,Melbourne,Melbourne,1.0,1.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
84,106.63821892393321,3000.0,Melbourne,Melbourne,1.0,1.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
84,106.63821892393321,3000.0,Melbourne,Melbourne,1.0,1.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
84,106.63821892393321,3000.0,Melbourne,Melbourne,1.0,1.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
84,106.63821892393321,3000.0,Melbourne,Melbourne,1.0,1.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
85,156.18631178707224,3000.0,Melbourne,Melbourne,1.0,2.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
85,156.18631178707224,3000.0,Melbourne,Melbourne,1.0,2.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
85,156.18631178707224,3000.0,Melbourne,Melbourne,1.0,2.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
85,156.18631178707224,3000.0,Melbourne,Melbourne,1.0,2.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
85,156.18631178707224,3000.0,Melbourne,Melbourne,1.0,2.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
86,211.5,3000.0,Melbourne,Melbourne,1.0,3.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
86,211.5,3000.0,Melbourne,Melbourne,1.0,3.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
86,211.5,3000.0,Melbourne,Melbourne,1.0,3.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
86,211.5,3000.0,Melbourne,Melbourne,1.0,3.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
86,211.5,3000.0,Melbourne,Melbourne,1.0,3.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
87,71.0,3000.0,Melbourne,Melbourne,1.5,0.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
87,71.0,3000.0,Melbourne,Melbourne,1.5,0.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
87,71.0,3000.0,Melbourne,Melbourne,1.5,0.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
87,71.0,3000.0,Melbourne,Melbourne,1.5,0.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
87,71.0,3000.0,Melbourne,Melbourne,1.5,0.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
88,104.3125,3000.0,Melbourne,Melbourne,1.5,1.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
88,104.3125,3000.0,Melbourne,Melbourne,1.5,1.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
88,104.3125,3000.0,Melbourne,Melbourne,1.5,1.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
88,104.3125,3000.0,Melbourne,Melbourne,1.5,1.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
88,104.3125,3000.0,Melbourne,Melbourne,1.5,1.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
89,155.5,3000.0,Melbourne,Melbourne,1.5,2.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
89,155.5,3000.0,Melbourne,Melbourne,1.5,2.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
89,155.5,3000.0,Melbourne,Melbourne,1.5,2.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
89,155.5,3000.0,Melbourne,Melbourne,1.5,2.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
89,155.5,3000.0,Melbourne,Melbourne,1.5,2.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
90,154.0,3000.0,Melbourne,Melbourne,1.5,3.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
90,154.0,3000.0,Melbourne,Melbourne,1.5,3.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
90,154.0,3000.0,Melbourne,Melbourne,1.5,3.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
90,154.0,3000.0,Melbourne,Melbourne,1.5,3.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
90,154.0,3000.0,Melbourne,Melbourne,1.5,3.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
91,251.0,3000.0,Melbourne,Melbourne,2.0,0.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
91,251.0,3000.0,Melbourne,Melbourne,2.0,0.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
91,251.0,3000.0,Melbourne,Melbourne,2.0,0.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
91,251.0,3000.0,Melbourne,Melbourne,2.0,0.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
91,251.0,3000.0,Melbourne,Melbourne,2.0,0.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
92,89.36666666666666,3000.0,Melbourne,Melbourne,2.0,1.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
92,89.36666666666666,3000.0,Melbourne,Melbourne,2.0,1.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
92,89.36666666666666,3000.0,Melbourne,Melbourne,2.0,1.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
92,89.36666666666666,3000.0,Melbourne,Melbourne,2.0,1.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
92,89.36666666666666,3000.0,Melbourne,Melbourne,2.0,1.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
93,172.4908536585366,3000.0,Melbourne,Melbourne,2.0,2.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
93,172.4908536585366,3000.0,Melbourne,Melbourne,2.0,2.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
93,172.4908536585366,3000.0,Melbourne,Melbourne,2.0,2.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
93,172.4908536585366,3000.0,Melbourne,Melbourne,2.0,2.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
93,172.4908536585366,3000.0,Melbourne,Melbourne,2.0,2.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
94,241.8695652173913,3000.0,Melbourne,Melbourne,2.0,3.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
94,241.8695652173913,3000.0,Melbourne,Melbourne,2.0,3.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
94,241.8695652173913,3000.0,Melbourne,Melbourne,2.0,3.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
94,241.8695652173913,3000.0,Melbourne,Melbourne,2.0,3.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
94,241.8695652173913,3000.0,Melbourne,Melbourne,2.0,3.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
95,50.0,3000.0,Melbourne,Melbourne CBD,1.0,1.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
95,50.0,3000.0,Melbourne,Melbourne CBD,1.0,1.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
95,50.0,3000.0,Melbourne,Melbourne CBD,1.0,1.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
95,50.0,3000.0,Melbourne,Melbourne CBD,1.0,1.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
95,50.0,3000.0,Melbourne,Melbourne CBD,1.0,1.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
96,75.0,3000.0,Melbourne,Melbourne City,1.0,0.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
96,75.0,3000.0,Melbourne,Melbourne City,1.0,0.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
96,75.0,3000.0,Melbourne,Melbourne City,1.0,0.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
96,75.0,3000.0,Melbourne,Melbourne City,1.0,0.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
96,75.0,3000.0,Melbourne,Melbourne City,1.0,0.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
97,174.0,3000.0,Melbourne,Melbourne City,1.0,2.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
97,174.0,3000.0,Melbourne,Melbourne City,1.0,2.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
97,174.0,3000.0,Melbourne,Melbourne City,1.0,2.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
97,174.0,3000.0,Melbourne,Melbourne City,1.0,2.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
97,174.0,3000.0,Melbourne,Melbourne City,1.0,2.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
98,100.0,3000.0,Melbourne,Melbourne Victoria,1.0,1.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
98,100.0,3000.0,Melbourne,Melbourne Victoria,1.0,1.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
98,100.0,3000.0,Melbourne,Melbourne Victoria,1.0,1.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
98,100.0,3000.0,Melbourne,Melbourne Victoria,1.0,1.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
98,100.0,3000.0,Melbourne,Melbourne Victoria,1.0,1.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
99,75.0,3000.0,Melbourne,melbourne,1.0,1.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
99,75.0,3000.0,Melbourne,melbourne,1.0,1.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
99,75.0,3000.0,Melbourne,melbourne,1.0,1.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
99,75.0,3000.0,Melbourne,melbourne,1.0,1.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
99,75.0,3000.0,Melbourne,melbourne,1.0,1.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
100,140.0,3000.0,Melbourne,墨爾本 Melbourne,1.0,1.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
100,140.0,3000.0,Melbourne,墨爾本 Melbourne,1.0,1.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
100,140.0,3000.0,Melbourne,墨爾本 Melbourne,1.0,1.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
100,140.0,3000.0,Melbourne,墨爾本 Melbourne,1.0,1.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
100,140.0,3000.0,Melbourne,墨爾本 Melbourne,1.0,1.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
101,116.0,3000.0,Moreland,Fawkner,1.0,0.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
101,116.0,3000.0,Moreland,Fawkner,1.0,0.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
101,116.0,3000.0,Moreland,Fawkner,1.0,0.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
101,116.0,3000.0,Moreland,Fawkner,1.0,0.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
101,116.0,3000.0,Moreland,Fawkner,1.0,0.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
102,150.0,3000.0,Port Phillip,Melbourne,1.0,1.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
102,150.0,3000.0,Port Phillip,Melbourne,1.0,1.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
102,150.0,3000.0,Port Phillip,Melbourne,1.0,1.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
102,150.0,3000.0,Port Phillip,Melbourne,1.0,1.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
102,150.0,3000.0,Port Phillip,Melbourne,1.0,1.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
103,220.0,3000.0,Yarra,Melbourne,2.0,3.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
103,220.0,3000.0,Yarra,Melbourne,2.0,3.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
103,220.0,3000.0,Yarra,Melbourne,2.0,3.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
103,220.0,3000.0,Yarra,Melbourne,2.0,3.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
103,220.0,3000.0,Yarra,Melbourne,2.0,3.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
104,97.14285714285714,3002.0,Melbourne,East Melbourne,1.0,0.0,5,721600.0,3002.0,Melbourne,East Melbourne,1.0,1.0
104,97.14285714285714,3002.0,Melbourne,East Melbourne,1.0,0.0,6,930833.3333333334,3002.0,Melbourne,East Melbourne,1.0,2.0
104,97.14285714285714,3002.0,Melbourne,East Melbourne,1.0,0.0,7,1875000.0,3002.0,Melbourne,East Melbourne,1.0,3.0
104,97.14285714285714,3002.0,Melbourne,East Melbourne,1.0,0.0,8,1337000.0,3002.0,Melbourne,East Melbourne,2.0,2.0
105,118.86842105263158,3002.0,Melbourne,East Melbourne,1.0,1.0,5,721600.0,3002.0,Melbourne,East Melbourne,1.0,1.0
105,118.86842105263158,3002.0,Melbourne,East Melbourne,1.0,1.0,6,930833.3333333334,3002.0,Melbourne,East Melbourne,1.0,2.0
105,118.86842105263158,3002.0,Melbourne,East Melbourne,1.0,1.0,7,1875000.0,3002.0,Melbourne,East Melbourne,1.0,3.0
105,118.86842105263158,3002.0,Melbourne,East Melbourne,1.0,1.0,8,1337000.0,3002.0,Melbourne,East Melbourne,2.0,2.0
106,147.64,3002.0,Melbourne,East Melbourne,1.0,2.0,5,721600.0,3002.0,Melbourne,East Melbourne,1.0,1.0
106,147.64,3002.0,Melbourne,East Melbourne,1.0,2.0,6,930833.3333333334,3002.0,Melbourne,East Melbourne,1.0,2.0
106,147.64,3002.0,Melbourne,East Melbourne,1.0,2.0,7,1875000.0,3002.0,Melbourne,East Melbourne,1.0,3.0
106,147.64,3002.0,Melbourne,East Melbourne,1.0,2.0,8,1337000.0,3002.0,Melbourne,East Melbourne,2.0,2.0
107,255.0,3002.0,Melbourne,East Melbourne,1.0,3.0,5,721600.0,3002.0,Melbourne,East Melbourne,1.0,1.0
107,255.0,3002.0,Melbourne,East Melbourne,1.0,3.0,6,930833.3333333334,3002.0,Melbourne,East Melbourne,1.0,2.0
107,255.0,3002.0,Melbourne,East Melbourne,1.0,3.0,7,1875000.0,3002.0,Melbourne,East Melbourne,1.0,3.0
107,255.0,3002.0,Melbourne,East Melbourne,1.0,3.0,8,1337000.0,3002.0,Melbourne,East Melbourne,2.0,2.0
108,152.0,3002.0,Melbourne,East Melbourne,1.5,1.0,5,721600.0,3002.0,Melbourne,East Melbourne,1.0,1.0
108,152.0,3002.0,Melbourne,East Melbourne,1.5,1.0,6,930833.3333333334,3002.0,Melbourne,East Melbourne,1.0,2.0
108,152.0,3002.0,Melbourne,East Melbourne,1.5,1.0,7,1875000.0,3002.0,Melbourne,East Melbourne,1.0,3.0
108,152.0,3002.0,Melbourne,East Melbourne,1.5,1.0,8,1337000.0,3002.0,Melbourne,East Melbourne,2.0,2.0
109,173.25,3002.0,Melbourne,East Melbourne,1.5,2.0,5,721600.0,3002.0,Melbourne,East Melbourne,1.0,1.0
109,173.25,3002.0,Melbourne,East Melbourne,1.5,2.0,6,930833.3333333334,3002.0,Melbourne,East Melbourne,1.0,2.0
109,173.25,3002.0,Melbourne,East Melbourne,1.5,2.0,7,1875000.0,3002.0,Melbourne,East Melbourne,1.0,3.0
109,173.25,3002.0,Melbourne,East Melbourne,1.5,2.0,8,1337000.0,3002.0,Melbourne,East Melbourne,2.0,2.0
110,134.22222222222223,3002.0,Melbourne,East Melbourne,2.0,1.0,5,721600.0,3002.0,Melbourne,East Melbourne,1.0,1.0
110,134.22222222222223,3002.0,Melbourne,East Melbourne,2.0,1.0,6,930833.3333333334,3002.0,Melbourne,East Melbourne,1.0,2.0
110,134.22222222222223,3002.0,Melbourne,East Melbourne,2.0,1.0,7,1875000.0,3002.0,Melbourne,East Melbourne,1.0,3.0
110,134.22222222222223,3002.0,Melbourne,East Melbourne,2.0,1.0,8,1337000.0,3002.0,Melbourne,East Melbourne,2.0,2.0
111,170.4,3002.0,Melbourne,East Melbourne,2.0,2.0,5,721600.0,3002.0,Melbourne,East Melbourne,1.0,1.0
111,170.4,3002.0,Melbourne,East Melbourne,2.0,2.0,6,930833.3333333334,3002.0,Melbourne,East Melbourne,1.0,2.0
111,170.4,3002.0,Melbourne,East Melbourne,2.0,2.0,7,1875000.0,3002.0,Melbourne,East Melbourne,1.0,3.0
111,170.4,3002.0,Melbourne,East Melbourne,2.0,2.0,8,1337000.0,3002.0,Melbourne,East Melbourne,2.0,2.0
112,192.75,3002.0,Melbourne,East Melbourne,2.0,3.0,5,721600.0,3002.0,Melbourne,East Melbourne,1.0,1.0
112,192.75,3002.0,Melbourne,East Melbourne,2.0,3.0,6,930833.3333333334,3002.0,Melbourne,East Melbourne,1.0,2.0
112,192.75,3002.0,Melbourne,East Melbourne,2.0,3.0,7,1875000.0,3002.0,Melbourne,East Melbourne,1.0,3.0
112,192.75,3002.0,Melbourne,East Melbourne,2.0,3.0,8,1337000.0,3002.0,Melbourne,East Melbourne,2.0,2.0
113,119.0,3002.0,Melbourne,Melbourne,1.0,2.0,5,721600.0,3002.0,Melbourne,East Melbourne,1.0,1.0
113,119.0,3002.0,Melbourne,Melbourne,1.0,2.0,6,930833.3333333334,3002.0,Melbourne,East Melbourne,1.0,2.0
113,119.0,3002.0,Melbourne,Melbourne,1.0,2.0,7,1875000.0,3002.0,Melbourne,East Melbourne,1.0,3.0
113,119.0,3002.0,Melbourne,Melbourne,1.0,2.0,8,1337000.0,3002.0,Melbourne,East Melbourne,2.0,2.0
114,226.0,3002.0,Melbourne,Melbourne,2.0,2.0,5,721600.0,3002.0,Melbourne,East Melbourne,1.0,1.0
114,226.0,3002.0,Melbourne,Melbourne,2.0,2.0,6,930833.3333333334,3002.0,Melbourne,East Melbourne,1.0,2.0
114,226.0,3002.0,Melbourne,Melbourne,2.0,2.0,7,1875000.0,3002.0,Melbourne,East Melbourne,1.0,3.0
114,226.0,3002.0,Melbourne,Melbourne,2.0,2.0,8,1337000.0,3002.0,Melbourne,East Melbourne,2.0,2.0
115,116.0,3002.0,Melbourne,West Melbourne,1.0,2.0,5,721600.0,3002.0,Melbourne,East Melbourne,1.0,1.0
115,116.0,3002.0,Melbourne,West Melbourne,1.0,2.0,6,930833.3333333334,3002.0,Melbourne,East Melbourne,1.0,2.0
115,116.0,3002.0,Melbourne,West Melbourne,1.0,2.0,7,1875000.0,3002.0,Melbourne,East Melbourne,1.0,3.0
115,116.0,3002.0,Melbourne,West Melbourne,1.0,2.0,8,1337000.0,3002.0,Melbourne,East Melbourne,2.0,2.0
116,70.0,3002.0,Yarra,East Melbourne,1.0,1.0,5,721600.0,3002.0,Melbourne,East Melbourne,1.0,1.0
116,70.0,3002.0,Yarra,East Melbourne,1.0,1.0,6,930833.3333333334,3002.0,Melbourne,East Melbourne,1.0,2.0
116,70.0,3002.0,Yarra,East Melbourne,1.0,1.0,7,1875000.0,3002.0,Melbourne,East Melbourne,1.0,3.0
116,70.0,3002.0,Yarra,East Melbourne,1.0,1.0,8,1337000.0,3002.0,Melbourne,East Melbourne,2.0,2.0
117,161.33333333333334,3002.0,Yarra,East Melbourne,1.0,2.0,5,721600.0,3002.0,Melbourne,East Melbourne,1.0,1.0
117,161.33333333333334,3002.0,Yarra,East Melbourne,1.0,2.0,6,930833.3333333334,3002.0,Melbourne,East Melbourne,1.0,2.0
117,161.33333333333334,3002.0,Yarra,East Melbourne,1.0,2.0,7,1875000.0,3002.0,Melbourne,East Melbourne,1.0,3.0
117,161.33333333333334,3002.0,Yarra,East Melbourne,1.0,2.0,8,1337000.0,3002.0,Melbourne,East Melbourne,2.0,2.0
118,84.0,3002.0,Yarra,East Melbourne,2.0,1.0,5,721600.0,3002.0,Melbourne,East Melbourne,1.0,1.0
118,84.0,3002.0,Yarra,East Melbourne,2.0,1.0,6,930833.3333333334,3002.0,Melbourne,East Melbourne,1.0,2.0
118,84.0,3002.0,Yarra,East Melbourne,2.0,1.0,7,1875000.0,3002.0,Melbourne,East Melbourne,1.0,3.0
118,84.0,3002.0,Yarra,East Melbourne,2.0,1.0,8,1337000.0,3002.0,Melbourne,East Melbourne,2.0,2.0
119,220.0,3002.0,Yarra,Melbourne,1.0,1.0,5,721600.0,3002.0,Melbourne,East Melbourne,1.0,1.0
119,220.0,3002.0,Yarra,Melbourne,1.0,1.0,6,930833.3333333334,3002.0,Melbourne,East Melbourne,1.0,2.0
119,220.0,3002.0,Yarra,Melbourne,1.0,1.0,7,1875000.0,3002.0,Melbourne,East Melbourne,1.0,3.0
119,220.0,3002.0,Yarra,Melbourne,1.0,1.0,8,1337000.0,3002.0,Melbourne,East Melbourne,2.0,2.0
120,120.0,3003.0,Melbourne,Melbourne,1.0,1.0,9,1460000.0,3003.0,,West Melbourne,1.0,3.0
120,120.0,3003.0,Melbourne,Melbourne,1.0,1.0,10,1500000.0,3003.0,,West Melbourne,2.0,3.0
120,120.0,3003.0,Melbourne,Melbourne,1.0,1.0,11,435000.0,3003.0,Melbourne,West Melbourne,1.0,1.0
120,120.0,3003.0,Melbourne,Melbourne,1.0,1.0,12,745125.0,3003.0,Melbourne,West Melbourne,1.0,2.0
120,120.0,3003.0,Melbourne,Melbourne,1.0,1.0,13,1371666.6666666667,3003.0,Melbourne,West Melbourne,1.0,3.0
120,120.0,3003.0,Melbourne,Melbourne,1.0,1.0,14,1900000.0,3003.0,Melbourne,West Melbourne,1.0,4.0
120,120.0,3003.0,Melbourne,Melbourne,1.0,1.0,15,906500.0,3003.0,Melbourne,West Melbourne,2.0,2.0
120,120.0,3003.0,Melbourne,Melbourne,1.0,1.0,16,902750.0,3003.0,Melbourne,West Melbourne,2.0,3.0
120,120.0,3003.0,Melbourne,Melbourne,1.0,1.0,17,1260000.0,3003.0,Melbourne,West Melbourne,3.0,2.0
120,120.0,3003.0,Melbourne,Melbourne,1.0,1.0,18,1065000.0,3003.0,Melbourne,West Melbourne,3.0,3.0
121,142.66666666666666,3003.0,Melbourne,Melbourne,1.0,2.0,9,1460000.0,3003.0,,West Melbourne,1.0,3.0
